game,avg_rating,rating_count
Total War ATTILA,27.325,24
Assassin's Creed III,27.32,50
Far Cry 4,27.306451612903224,31
EVGA PrecisionX 16,27.3,6
Borderlands 2,27.260797342192692,301
Counter-Strike Global Offensive,27.139972899728996,738
The Binding of Isaac Rebirth,27.112,50
Naval War Arctic Circle,27.0,1
Skyscraper Simulator,27.0,1
Hidden Object Bundle 4 in 1,27.0,1
Ancient Space,27.0,1
XCOM Enemy Unknown,26.90152671755725,131
Total War SHOGUN 2,26.88595041322314,121
Assassin's Creed II,26.680392156862744,51
Terraria,26.55016286644951,307
Dying Light,26.538666666666668,75
STAR WARS Knights of the Old Republic II The Sith Lords,26.2625,32
Sid Meier's Civilization Beyond Earth,26.23,50
Star Trek Online,26.217142857142857,35
Dragon Age Origins,26.175,24
SpellForce 2 - Faith in Destiny,26.119999999999997,5
Rocksmith 2014,26.066666666666666,21
Fairy Fencer F,26.05,4
GamersGoMakers,26.0,1
If My Heart Had Wings,26.0,1
Wolfenstein,26.0,1
Crawl,26.0,1
Battlefield Bad Company 2,25.860674157303368,89
DayZ,25.75111111111111,180
Endless Space,25.71627906976744,43
Arma 3,25.652577319587632,97
Batman Arkham Asylum,25.639999999999997,5
Tropico 3 Absolute Power,25.627272727272725,11
Survivalist,25.6,2
S.T.A.L.K.E.R. Call of Pripyat,25.521052631578947,19
Rocket League,25.520799999999998,125
Renowned Explorers International Society,25.5,2
Legends of Eisenwald,25.4,2
Soul Gambler,25.4,2
Elite Dangerous,25.390476190476193,21
LEGO Batman 3 Beyond Gotham,25.28,5
Call to Arms,25.066666666666666,3
Kerbal Space Program,25.065151515151513,66
Empire Total War,25.04094488188976,127
Castlevania Lords of Shadow 2,25.02,5
PAYDAY 2,25.016504854368932,309
Memento Mori 2,25.0,1
Emergency 5 - Deluxe Edition,25.0,1
GALAK-Z,25.0,1
SimpleRockets,25.0,1
Deus Ex Human Revolution,24.963636363636365,110
FINAL FANTASY XIII,24.96315789473684,19
"Warhammer 40,000 Dawn of War II",24.95980392156863,102
Call of Duty Ghosts - Multiplayer,24.95714285714286,49
Starbound,24.931818181818183,110
Bookworm Adventures Deluxe,24.866666666666664,3
Mount & Blade With Fire and Sword,24.809677419354838,31
Patrician IV Rise of a Dynasty,24.8,3
Might & Magic Clash of Heroes,24.78333333333333,6
FINAL FANTASY VII,24.69047619047619,42
Endless Legend,24.686206896551724,29
Franchise Hockey Manager 2014,24.666666666666668,3
The Elder Scrolls Online Tamriel Unlimited,24.614285714285717,14
Silent Hunter 5 Battle of the Atlantic,24.599999999999998,3
Rayman Legends,24.566666666666666,12
Wasteland 2,24.55,20
Galactic Civilizations III,24.363636363636363,11
FINAL FANTASY III,24.25,4
Medieval II Total War,24.235849056603772,53
Bloons TD5,24.128571428571426,7
Call of Duty Black Ops II - Multiplayer,24.1010101010101,99
Dead State,24.1,2
Napoleon Total War,24.04565217391304,92
Cities Skylines,24.00792079207921,101
Secret Files Puritas Cordis,24.0,1
Victor Vran,24.0,3
America's Army 3,23.985714285714288,7
Far Cry 3,23.95,156
Age of Empires Online,23.9,4
Borderlands,23.829310344827583,116
Supreme Commander 2,23.774358974358975,39
The Crew,23.759999999999998,15
Mount & Blade Warband,23.743548387096777,62
TOME Immortal Arena,23.725,4
Restaurant Empire II,23.6,2
LEGO Harry Potter Years 5-7,23.5,4
GRAV,23.383333333333336,6
Combat Arms,23.357142857142858,7
Banished,23.35211267605634,71
